STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,SECTOR,Institutional sector,COUNTERPART_SECTOR,Counterpart institutional sector,TRANSACTION,Transaction,INSTR_ASSET,Financial instruments and non-financial assets,ACTIVITY,Economic activity,EXPENDITURE,Expenditure,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Table identifier,TIME_PERIOD,Time period,OBS_VALUE,Observation value,REF_YEAR_PRICE,Price reference year,CONF_STATUS,Confidentiality status,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(2.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,HRV,Croatia,S1,Total economy,S1,Total economy,B6G,"Disposable income, gross",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",1995,,16295.716,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(2.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,HRV,Croatia,S1,Total economy,S1,Total economy,B5G,"Balance of primary incomes, gross / National income, gross",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",1995,,15702.643,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(2.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,HRV,Croatia,S1,Total economy,S1,Total economy,B6G,"Disposable income, gross",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",1996,,18031.335,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(2.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,HRV,Croatia,S1,Total economy,S1,Total economy,B5G,"Balance of primary incomes, gross / National income, gross",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",1996,,17274.368,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(2.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,HRV,Croatia,S1,Total economy,S1,Total economy,B6G,"Disposable income, gross",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",1997,,20428.888,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(2.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,HRV,Croatia,S1,Total economy,S1,Total economy,B5G,"Balance of primary incomes, gross / National income, gross",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",1997,,19651.145,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(2.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,HRV,Croatia,S1,Total economy,S1,Total economy,B6G,"Disposable income, gross",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",1998,,22344.145,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(2.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,HRV,Croatia,S1,Total economy,S1,Total economy,B5G,"Balance of primary incomes, gross / National income, gross",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",1998,,21601.991,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(2.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,HRV,Croatia,S1,Total economy,S1,Total economy,B6G,"Disposable income, gross",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",1999,,22653.257,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(2.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,HRV,Croatia,S1,Total economy,S1,Total economy,B5G,"Balance of primary incomes, gross / National income, gross",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",1999,,21855.349,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(2.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,HRV,Croatia,S1,Total economy,S1,Total economy,B6G,"Disposable income, gross",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2000,,24785.551,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(2.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,HRV,Croatia,S1,Total economy,S1,Total economy,B5G,"Balance of primary incomes, gross / National income, gross",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2000,,23549.179,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(2.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,HRV,Croatia,S1,Total economy,S1,Total economy,B6G,"Disposable income, gross",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2001,,26580.559,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(2.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,HRV,Croatia,S1,Total economy,S1,Total economy,B5G,"Balance of primary incomes, gross / National income, gross",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2001,,25247.862,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(2.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,HRV,Croatia,S1,Total economy,S1,Total economy,B6G,"Disposable income, gross",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2002,,29249.04,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(2.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,HRV,Croatia,S1,Total economy,S1,Total economy,B5G,"Balance of primary incomes, gross / National income, gross",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2002,,27854.149,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(2.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,HRV,Croatia,S1,Total economy,S1,Total economy,B6G,"Disposable income, gross",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2003,,31608.537,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(2.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,HRV,Croatia,S1,Total economy,S1,Total economy,B5G,"Balance of primary incomes, gross / National income, gross",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2003,,30179.995,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(2.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,HRV,Croatia,S1,Total economy,S1,Total economy,B6G,"Disposable income, gross",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2004,,34562.481,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(2.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,HRV,Croatia,S1,Total economy,S1,Total economy,B5G,"Balance of primary incomes, gross / National income, gross",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2004,,33108.491,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,EUR,Euro
